id,provinceTH,province,visited
1,กรุงเทพฯ,Bangkok Metropolis,0
15,กำแพงเพชร,Kamphaeng Phet,0
7,ชัยนาท,Chai Nat,0
26,นครนายก,Nakhon Nayok,0
27,นครปฐม,Nakhon Pathom,0
30,นครสวรรค์,Nakhon Sawan,0
36,นนทบุรี,Nonthaburi,0
37,ปทุมธานี,Pathum Thani,0
46,อยุธยา,Phra Nakhon Si Ayutthaya,0
44,พิจิตร,Phichit,0
45,พิษณุโลก,Phitsanulok,0
22,ลพบุรี,Lop Buri,0
57,สมุทรปราการ,Samut Prakan,0
59,สมุทรสงคราม,Samut Songkhram,0
58,สมุทรสาคร,Samut Sakhon,0
60,สระบุรี,Saraburi,0
63,สิงห์บุรี,Sing Buri,0
66,สุพรรณบุรี,Suphan Buri,0
65,สุโขทัย,Sukhothai,0
74,อุทัยธานี,Uthai Thani,0
2,อ่างทอง,Ang Thong,0
42,เพชรบูรณ์,Phetchabun,0
9,จันทบุรี,Chanthaburi,0
6,ฉะเชิงเทรา,Chachoengsao,0
12,ชลบุรี,Chon Buri,0
71,ตราด,Trat,0
49,ปราจีนบุรี,Prachin Buri,0
53,ระยอง,Rayong,0
55,สระแก้ว,Sa Kaeo,0
16,กาญจนบุรี,Kanchanaburi,0
69,ตาก,Tak,0
50,ประจวบคีรีขันธ์,Prachuap Khiri Khan,0
52,ราชบุรี,Ratchaburi,0
43,เพชรบุรี,Phetchaburi,0
32,น่าน,Nan,0
41,พะเยา,Phayao,0
19,ลำปาง,Lampang,0
20,ลำพูน,Lamphun,0
75,อุตรดิตถ์,Uttaradit,0
11,เชียงราย,Chiang Rai,0
10,เชียงใหม่,Chiang Mai,0
47,แพร่,Phrae,0
23,แม่ฮ่องสอน,Mae Hong Son,0
14,กาฬสินธุ์,Kalasin,0
17,ขอนแก่น,Khon Kaen,0
8,ชัยภูมิ,Chaiyaphum,0
28,นครพนม,Nakhon Phanom,0
29,นครราชสีมา,Nakhon Ratchasima,0
5,บุรีรัมย์,Buri Ram,0
4,บึงกาฬ,Bueng Kan,0
24,มหาสารคาม,Maha Sarakham,0
25,มุกดาหาร,Mukdahan,0
77,ยโสธร,Yasothon,0
54,ร้อยเอ็ด,Roi Et,0
62,ศรีสะเกษ,Si Sa Ket,0
56,สกลนคร,Sakon Nakhon,0
68,สุรินทร์,Surin,0
35,หนองคาย,Nong Khai,0
34,หนองบัวลำภู,Nong Bua Lam Phu,0
3,อำนาจเจริญ,Amnat Charoen,0
73,อุดรธานี,Udon Thani,0
72,อุบลราชธานี,Ubon Ratchathani,0
21,เลย,Loei,0
18,กระบี่,Krabi,0
13,ชุมพร,Chumphon,0
70,ตรัง,Trang,0
31,นครศรีธรรมราช,Nakhon Si Thammarat,0
33,นราธิวาส,Narathiwat,0
38,ปัตตานี,Pattani,0
39,พังงา,Phangnga,0
40,พัทลุง,Phatthalung,0
48,ภูเก็ต,Phuket,0
76,ยะลา,Yala,0
51,ระนอง,Ranong,0
64,สงขลา,Songkhla,0
61,สตูล,Satun,0
67,สุราษฎร์ธานี,Surat Thani,0
